Estado,Municipio,Colonia,Codigo
CDMX,Azcapotzalco,Nueva El Rosario,2128
CDMX,Azcapotzalco,Nueva España,2129
CDMX,Azcapotzalco,Tierra Nueva,2130
CDMX,Azcapotzalco,Santa Ines,2140
CDMX,Azcapotzalco,Pasteros,2150
CDMX,Azcapotzalco,Azcapotzalco Pasteros,2150
CDMX,Azcapotzalco,Santo Domingo,2160
CDMX,Azcapotzalco,Villas de Azcapotzalco,2169
CDMX,Azcapotzalco,Reynosa Tamaulipas,2200
CDMX,Azcapotzalco,Santa Bárbara,2230
CDMX,Azcapotzalco,Ticoman,2240
CDMX,Azcapotzalco,San Andrés,2240
CDMX,Azcapotzalco,San Andrés Fase II,2240
CDMX,Azcapotzalco,San Andrés,2240
CDMX,Azcapotzalco,Santa Catarina,2250
CDMX,Azcapotzalco,Pitolaca,2260
CDMX,Azcapotzalco,Industrial Vallejo,2300
CDMX,Azcapotzalco,Ferrería,2310
CDMX,Azcapotzalco,San Andrés de las Salinas,2320
CDMX,Azcapotzalco,Huautla de las Salinas,2330
CDMX,Azcapotzalco,Santa Cruz de las Salinas,2340
CDMX,Azcapotzalco,Jardines de Ceylán,2350
CDMX,Azcapotzalco,Las Salinas,2360
CDMX,Azcapotzalco,Rinconada el Olivar,2400
CDMX,Azcapotzalco,San Juan Tlihuaca,2400
CDMX,Azcapotzalco,San Juan Tlihuaca,2400
CDMX,Azcapotzalco,Rosendo Salazar,2409
CDMX,Azcapotzalco,Prados del Rosario,2410
CDMX,Azcapotzalco,Trabajadores de PEMEX,2419
CDMX,Azcapotzalco,Francisco Villa,2420
CDMX,Azcapotzalco,Ex-Hacienda El Rosario,2420
CDMX,Azcapotzalco,Presidente Madero,2430
CDMX,Azcapotzalco,Providencia,2440
CDMX,Azcapotzalco,Las Trancas,2450
CDMX,Azcapotzalco,Miguel Hidalgo,2450
CDMX,Azcapotzalco,Tezozomoc,2459
CDMX,Azcapotzalco,Axolahua,2460
CDMX,Azcapotzalco,La Preciosa,2460
CDMX,Azcapotzalco,Ampliación Petrolera,2470
CDMX,Azcapotzalco,Lázaro Cárdenas,2479
CDMX,Azcapotzalco,Petrolera,2480
CDMX,Azcapotzalco,San Mateo,2490
CDMX,Azcapotzalco,Kervin,2490
CDMX,Azcapotzalco,Unidad Cuitlahuac,2500
CDMX,Azcapotzalco,Pantaco,2510
CDMX,Azcapotzalco,El Jagüey,2510
CDMX,Azcapotzalco,El Jagüey,2519
CDMX,Azcapotzalco,Estación Pantaco,2520
CDMX,Azcapotzalco,Granjas Pantaco Campamento Ferrocarrilero,2525
CDMX,Azcapotzalco,Jardín Azpeitia,2530
CDMX,Azcapotzalco,Hogares Ferrocarrileros,2540
CDMX,Azcapotzalco,Pro-Hogar,2600
CDMX,Azcapotzalco,Coltongo,2630
CDMX,Azcapotzalco,Coltongo,2630
CDMX,Azcapotzalco,Monte Alto,2640
CDMX,Azcapotzalco,Trabajadores de Hierro,2650
CDMX,Azcapotzalco,Euzkadi,2660
CDMX,Azcapotzalco,Cosmopolita,2670
CDMX,Azcapotzalco,Potrero del Llano,2680
CDMX,Azcapotzalco,San Miguel Amantla,2700
CDMX,Azcapotzalco,San Isidro,2710
CDMX,Azcapotzalco,San Pedro Xalpa,2710
CDMX,Azcapotzalco,Las Armas,2718
CDMX,Azcapotzalco,Ampliación San Pedro Xalpa,2719
CDMX,Azcapotzalco,San Bartolo Cahualtongo,2720
CDMX,Azcapotzalco,San Antonio,2720
CDMX,Azcapotzalco,Campo Encantado,2729
CDMX,Azcapotzalco,San Francisco Tetecala,2730
CDMX,Azcapotzalco,Miguel Lerdo de Tejada,2739
CDMX,Azcapotzalco,La Providencia,2750
CDMX,Azcapotzalco,Santiago Ahuizotla,2750
CDMX,Azcapotzalco,La Escuadra,2750
CDMX,Azcapotzalco,Industrial San Antonio,2760
CDMX,Azcapotzalco,Santa Lucia,2760
CDMX,Azcapotzalco,Santa Cruz Acayucan,2770
CDMX,Azcapotzalco,Plenitud,2780
CDMX,Azcapotzalco,Santa Apolonia,2790
CDMX,Azcapotzalco,Nueva Santa Maria,2800
CDMX,Azcapotzalco,Ignacio Allende,2810
CDMX,Azcapotzalco,Victoria de las Democracias,2810
CDMX,Azcapotzalco,San Bernabé,2830
CDMX,Azcapotzalco,Toronja,2830
CDMX,Azcapotzalco,Cobre de México,2840
CDMX,Azcapotzalco,Obrero Popular,2840
CDMX,Azcapotzalco,Tlatilco,2850
CDMX,Azcapotzalco,Tlatilco,2860
CDMX,Azcapotzalco,San Salvador Xochimanca,2870
CDMX,Azcapotzalco,Aguilera,2900
CDMX,Azcapotzalco,Aldana,2910
CDMX,Azcapotzalco,Ampliación Cosmopolita,2920
CDMX,Azcapotzalco,Liberación,2930
CDMX,Azcapotzalco,Porvenir,2940
CDMX,Azcapotzalco,Del Gas,2950
CDMX,Azcapotzalco,San Francisco Xocotitla,2960
CDMX,Azcapotzalco,Ampliación Del Gas,2970
CDMX,Azcapotzalco,Arenal,2980
CDMX,Azcapotzalco,Patrimonio Familiar,2980
CDMX,Azcapotzalco,La Raza,2990
CDMX,Benito Juárez,Piedad Narvarte,3000
CDMX,Benito Juárez,Atenor Salas,3010
CDMX,Benito Juárez,Esperanza,3020
CDMX,Benito Juárez,Narvarte Poniente,3020
CDMX,Benito Juárez,Narvarte Oriente,3023
CDMX,Benito Juárez,Unidad Narvarte IMSS,3023
CDMX,Benito Juárez,Unidad de Pagos de La SCT,3027
CDMX,Benito Juárez,Secretaria de Comunicaciones y Transportes,3028
CDMX,Benito Juárez,Insurgentes San Borja,3100
CDMX,Benito Juárez,Del Valle Centro,3100
CDMX,Benito Juárez,Del Valle Norte,3103
CDMX,Benito Juárez,Del Valle Sur,3104
CDMX,Benito Juárez,Partido Acción Nacional,3109
CDMX,Benito Juárez,Cámara Nacional de la Industria del Hierro y Acero,3199
CDMX,Benito Juárez,Tlacoquemecatl,3200
